Country,POP,PIB,CHS_PUB,CHS_PRIV,RM,RN,SPV
Romania,401394,11722.98863672171,8345.072211938734,2018.1154991802641,1926.1103509747784,751.214793688308,9717.887056483803
Belgium,25227,63036.02676536395,3736.9569104671627,8273.059174216047,4488.276910629187,1335.8229107063985,7524.220124265501
Nigeria,981425,63404.12742397031,5571.083096460189,1977.8147182502382,4607.861946061758,202.59703726042332,4257.952329939343
Singapore,844564,49126.10072660234,7163.131304910588,4182.620240188564,2350.8435038952953,651.2986933259428,8439.275889125167
Japan,691220,11347.74182366024,8617.107125555764,149.08033335786607,1470.2825445662716,360.64536933277714,11144.993917504813
China,262345,27832.88171636371,1195.7054693351,1476.1685679798763,3976.409940319852,227.72083832451906,8302.810011253634
Russia,887655,44297.720264075615,5838.073746527753,5636.671654705515,2530.332710120358,611.0353402081167,2224.877759678015
USA,739865,12426.930343282205,9563.762212776575,6418.159736496784,298.46481064259854,315.5813354735302,10666.274391085019
Canada,413939,23949.983064261625,3372.293039174614,1321.7263577637516,4844.084553063702,516.6135903088056,1289.1974645608273
Turkey,112741,14745.685131286935,1165.1447234178092,5104.4679094789235,3349.5296356909676,326.768591297089,2816.945186672018
Hungary,417446,18603.60160128309,3159.5325233230596,338.17823762699595,2680.8761211416795,1328.5130618151895,7328.323749524213
Bosnia,302264,31715.846703617768,2109.7401847942765,6903.436679182272,1718.2392747211072,55.61626178063217,7126.301636787026
France,50991,77129.93302244293,7292.264624851803,4102.071342829765,805.4990427772651,876.2391975349235,6466.368787764362
Ukraine,999732,83995.78161624055,4158.643818056261,1665.6659543282515,3062.01681958864,1445.3960234216672,6636.1681017562305
Croatia,206885,90821.11939039531,7718.332997723557,4488.778518255617,3754.076138191219,1211.0708994712113,7667.371991021534
Saud Arabia,304705,61176.51881971502,3926.68941660846,2224.2533877933533,644.7356675063847,981.8554635063508,11184.33775442779
Estonia,163303,81409.69919384184,8900.318587775479,8264.489648345694,3549.7047246826032,83.72344916505247,4015.5626385998726
Moldova,543967,88996.84209701711,414.9339234003324,39.87004887042178,3675.8437748311208,1018.6041362394398,2421.840306899052
Serbia,307431,92485.6784942491,4443.49799046825,7419.609879568749,1655.4504129683262,928.6281166965617,497.38531012684496
Craiova,122906,22548.30134243001,1126.7827677052633,6478.905346093742,4087.213636601601,252.63613203034652,5319.4075079245285
Chad,220044,99122.180326162,1884.0057807909172,8798.549576061507,1986.1129647181358,1670.4052443653734,7232.1446672962
Galati,28255,78928.82292010546,4024.1821359189544,3418.9542651395022,1268.3647251980833,1534.4626766399613,4953.378346602898
Braila,421359,42875.01474946747,9298.79384609006,9204.244717872914,2748.9530826738223,639.2550880182098,4356.238550989257
Urziceni,140715,75945.26840982916,6771.7843425602805,6372.22503340054,2954.2263198707697,633.4659862505521,5056.363850086881
Colentina,858944,59711.04248397728,9082.27058703031,9253.379468184732,2401.358239649508,976.5779203289045,10910.911619118362
Bucurestii Noi,583299,9154.96531214689,133.89317255149692,6456.023555134893,1491.2812718386742,322.78959207952363,9383.667011155805
Laminorului,521159,43607.370698460036,7181.110087778447,8506.568708673254,4974.734563590507,348.53591020562226,12561.364377092948
Pantelimon,83487,91901.22274498495,2904.587640198506,9624.563836155374,1015.1552963335836,1376.454615887508,14191.480759615975
Mega Mall,729079,18849.63067227895,1736.9564213761457,1286.154287514939,662.7363709661155,1006.0970230847772,6727.789519069745
Promenada,91046,45820.18950098804,2605.6764874055093,9771.456962475608,3234.765217453157,423.1678698847814,7288.107989212968
Baneasa,213769,88615.18190049537,1787.370982533728,2497.6504101188048,3718.016550189522,1151.8442924834899,11508.928692500012
Park Lake,776544,16505.385682345997,4455.570203911261,6710.9549038736295,242.69054038336125,1730.822605790288,11377.607539412138
Timisoara,479592,966.9047288320743,9345.94790112491,6132.5074394420735,686.2266186925764,1333.5626852359605,5936.093105034173
Veranda Mall,752858,47412.553454458626,1854.7228585731168,7130.443589824823,2193.406450761844,1767.4098375271758,6500.63825207776
Brasov,68749,19141.912293936657,6818.096649242771,3864.416928976072,3967.9790194640223,1944.833944134704,9835.35901676462
