CountryId,Country,GNI,ChangesInv,Exports,Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
1,Afghanistan,5432,133,654,2734,2721,1302,3030,255,998,1252,386,497,521,1751
2,Albania,7466,7,2776,689,4044,1326,1423,708,904,1654,371,1449,870,1328
3,Algeria,6059,123,2198,2485,1135,3425,4867,930,1641,1706,841,1983,1084,1486
4,Argentina,9860,180,2726,1169,2620,1630,4384,798,561,1860,663,825,629,2925
5,Australia,9263,255,2710,502,3937,2351,2749,403,810,663,1770,1166,685,1816
6,Austria,4711,387,1545,1113,3702,1478,1529,314,383,1404,1313,618,1324,796
7,Bangladesh,6462,381,1700,1047,1795,1517,3245,113,1978,2152,583,1763,390,1085
8,Belgium,5069,-311,2603,2098,4950,1099,2587,339,203,828,594,1030,1101,1960
9,Brazil,8268,28,826,3000,1569,1513,2278,234,1805,2086,417,1482,1197,2981
10,Canada,2202,459,1756,1701,4119,1710,2721,299,1048,1612,579,1039,1152,1435
11,Chile,2875,449,2029,1886,2697,2153,4218,840,1650,1251,1617,1134,482,2438
12,China,3102,270,783,905,3126,1843,1124,955,1776,1005,1530,1499,1394,778
13,Colombia,4303,41,1885,2019,4958,1968,3412,249,1658,1343,952,484,719,2445
14,Croatia,9631,-473,1195,955,4546,3379,4490,572,1126,649,1628,1149,838,1019
15,Cuba,4406,287,1311,2335,2213,3025,4867,391,1320,1717,1379,585,832,2931
16,Czech Republic,8158,-22,2341,2870,1355,2039,1353,211,914,1570,1881,1657,1445,1813
17,Denmark,8284,339,1758,2729,2702,2234,1753,595,1879,930,943,1951,408,827
18,Egypt,6952,-281,2142,2389,3960,1947,4183,463,1512,1223,1446,1482,1493,1915
19,Ethiopia,7945,453,756,1890,3173,1004,4254,342,365,1605,595,900,306,1177
20,Finland,8220,-479,2901,1258,3627,1117,4784,444,1143,1295,1049,1752,1281,1709
21,France,5083,-28,1412,2018,4196,1555,3558,285,320,515,866,1498,1205,1655
22,Germany,5572,284,2451,742,2763,3486,2525,892,438,2454,420,587,1142,671
23,Ghana,4467,97,1483,2519,3509,3475,1448,460,969,1873,383,1131,853,2068
24,Greece,2961,500,916,542,2069,1975,3869,343,531,1885,1457,409,987,2618
25,Hungary,5200,-104,2531,855,2653,2824,2566,571,1529,1391,792,966,723,2169
26,India,3224,-281,518,1705,4122,2984,1941,234,1729,1118,848,1591,993,2320
27,Indonesia,4327,254,2322,1187,2814,993,3594,275,1936,2100,737,1069,719,2893
28,Iran,8954,218,2228,2803,4920,1859,3797,411,1115,1472,1348,722,927,1041
29,Iraq,5611,353,1237,1931,2672,3427,2984,791,271,976,1837,1074,851,1447
30,Ireland,8092,53,1578,1435,4442,1333,3196,514,837,2189,1949,1602,1287,2808
31,Israel,9831,-198,671,1865,2439,2574,2494,454,1024,552,2000,1183,707,2485
32,Italy,9245,-393,2567,1553,2706,3316,2186,857,1017,2315,842,1341,1169,2874
33,Japan,8998,-196,2691,832,1435,3488,1879,406,1703,957,1738,1322,947,1648
34,Kenya,2398,304,1881,2069,1282,2306,3304,219,499,1806,605,1869,1074,2078
35,Malaysia,8329,478,651,1407,1655,2114,2856,819,1853,779,765,1607,392,2505
36,Mexico,9279,-248,1051,1246,1210,2326,3823,400,1372,1913,1891,1911,1029,1367
37,Morocco,7209,-461,2580,1148,3255,2396,4548,767,257,1800,1370,561,608,755
38,Nepal,4200,-16,1561,1421,4771,1449,4692,497,915,1106,1770,1042,1009,781
39,Netherlands,9894,-13,1653,1379,2347,1192,4490,943,998,1445,713,856,1412,2639
40,New Zealand,9806,498,2156,2176,1985,3790,2144,608,831,1747,1744,1847,1131,2451
41,Nigeria,5560,79,1674,747,2648,2174,1592,788,523,1031,1498,1221,968,1413
42,Norway,6587,-19,1585,2309,1903,1375,4658,414,1694,502,997,1266,751,665
43,Pakistan,2422,-469,2572,1494,3924,2653,2205,412,531,1043,665,678,374,2252
44,Peru,2165,-103,835,2923,4259,865,2546,228,943,2319,1437,1237,378,1649
45,Philippines,8754,-380,1979,1559,3513,3806,1044,851,1881,2253,1025,874,515,2426
46,Poland,3438,370,2348,2093,3294,3549,2233,865,1214,1879,1254,1410,554,1561
47,Portugal,5853,319,1671,2917,3408,1426,2115,436,1313,2126,1475,1726,640,2231
48,Romania,6853,496,1985,1212,3525,2915,2924,135,1176,2290,894,1669,1182,1380
49,Russia,7005,-460,2554,2243,2893,1522,4088,100,1358,1843,850,1802,425,2233
50,Saudi Arabia,7538,-382,2411,977,3792,1842,1526,764,1326,980,883,1306,1372,1777
