CountryID,Country,Continent
1,Afghanistan,Asia
2,Albania,Europe
3,Algeria,Africa
4,Argentina,South America
5,Australia,Oceania
6,Austria,Europe
7,Bangladesh,Asia
8,Belgium,Europe
9,Brazil,South America
10,Canada,North America
11,Chile,South America
12,China,Asia
13,Colombia,South America
14,Croatia,Europe
15,Cuba,North America
16,Czech Republic,Europe
17,Denmark,Europe
18,Egypt,Africa
19,Ethiopia,Africa
20,Finland,Europe
21,France,Europe
22,Germany,Europe
23,Ghana,Africa
24,Greece,Europe
25,Hungary,Europe
26,India,Asia
27,Indonesia,Asia
28,Iran,Asia
29,Iraq,Asia
30,Ireland,Europe
31,Israel,Asia
32,Italy,Europe
33,Japan,Asia
34,Kenya,Africa
35,Malaysia,Asia
36,Mexico,North America
37,Morocco,Africa
38,Nepal,Asia
39,Netherlands,Europe
40,New Zealand,Oceania
41,Nigeria,Africa
42,Norway,Europe
43,Pakistan,Asia
44,Peru,South America
45,Philippines,Asia
46,Poland,Europe
47,Portugal,Europe
48,Romania,Europe
49,Russia,Europe
50,Saudi Arabia,Asia
51,South Korea,Asia
52,Spain,Europe
53,Sri Lanka,Asia
54,Sweden,Europe
55,Switzerland,Europe
56,Syria,Asia
57,Taiwan,Asia
58,Tanzania,Africa
59,Thailand,Asia
60,Tunisia,Africa
61,Turkey,Asia
62,Uganda,Africa
63,Ukraine,Europe
64,United Arab Emirates,Asia
65,United Kingdom,Europe
66,United States,North America
67,Uruguay,South America
68,Venezuela,South America
69,Vietnam,Asia
70,Yemen,Asia
71,Zambia,Africa
72,Zimbabwe,Africa
73,Ecuador,South America
74,El Salvador,North America
75,Estonia,Europe
