Three_Letter_Country_Code,Country_Name,FR,IM,LE,LEF,LKM,MMR,RS
AFG,Afghanistan,0.1171135695665021,0.758864003860327,0.1935866114861704,0.11522801476926203,0.45550154086368977,0.5868424398017393,0.9914235640973831
ALB,Albania,0.6626411750384893,0.892323950907656,0.837057355168224,0.6098664251782412,0.9802450238873566,0.9803597376274537,0.4527022638858321
DZA,Algeria,0.5857646639251501,0.49091845750896657,0.38011328141381484,0.5277236908449897,0.6533592835738671,0.622537612605452,0.259823476177773
ARG,Argentina,0.8307133139852036,0.5036172298839352,0.05997511246720144,0.40670441506049926,0.2859749034660368,0.7682423986064084,0.5678158136533555
AUS,Australia,0.16235328968533214,0.5684972077141283,0.9370763881053611,0.614370710248319,0.029792303618584315,0.9410101743169023,0.3155755056578292
AUT,Austria,0.41267965569447174,0.9497040942813687,0.17247894234327288,0.43139360128492643,0.2572602873811557,0.6865576237209038,0.5584793216923618
BGD,Bangladesh,0.23483805558635606,0.2859602210281629,0.332987883191576,0.012920894797536553,0.7757766152933511,0.8711717475134474,0.3864949635733578
BEL,Belgium,0.2075225157682008,0.10930142672538601,0.18518243875751217,0.6513464355547691,0.3920267855193681,0.9311094206994398,0.46698107848110826
BRA,Brazil,0.30673636689079853,0.7396098602640664,0.07133059111190754,0.21096929441955325,0.40659945416686916,0.8477282584584923,0.6954696842510736
CAN,Canada,0.25629914971692735,0.20820475552208284,0.39435184294779035,0.8276305033518726,0.7857608578239151,0.6002910936040242,0.08250288048485022
CHL,Chile,0.36008783501517994,0.3056875567941698,0.29485056849827507,0.7428615553656489,0.5131730700042638,0.41858406117544744,0.8125021609610924
CHN,China,0.5288238588680654,0.03312935795840699,0.6142835426522815,0.7976176128213233,0.14324818155993313,0.7014381931561406,0.32770499020116917
COL,Colombia,0.0850497904426073,0.6164381520206202,0.2746781264088677,0.36209655371583227,0.3942145419308203,0.6161566134987106,0.25742940869000774
HRV,Croatia,0.9948254986685958,0.25585006058066184,0.8637228924217102,0.8797490766371476,0.08979468417704162,0.042011901785180106,0.2522640123842458
CUB,Cuba,0.9398698469215863,0.3711350091384811,0.4719136836163581,0.9618308137443848,0.3754751071456597,0.8853244013855189,0.24041979657066903
CZE,Czech Republic,0.007639440872819314,0.2960467317076986,0.5329756313647096,0.1220056906675594,0.6657607562881458,0.9565520576617988,0.3657668290556072
DNK,Denmark,0.44954292998443246,0.3600633826166497,0.7262466968659437,0.5334374276389537,0.3327104700136789,0.08088333189856323,0.37476637197445073
EGY,Egypt,0.9071286161079315,0.22726159024193016,0.5299675141550655,0.5258898838290024,0.9152556926025934,0.7767944599080303,0.7359291853684865
ETH,Ethiopia,0.35537835929028627,0.25453236676077073,0.46599603464797035,0.07003764023070047,0.0123748089677016,0.13577703228537352,0.7861974857583474
FIN,Finland,0.0011001794366334305,0.718396906691319,0.48373468875421155,0.4323226384650879,0.29175691689838334,0.3574629761349525,0.9718674299979653
FRA,France,0.4206194681643982,0.17337147706243417,0.7498574507775545,0.3084959849818202,0.3860809539092841,0.31480416184313154,0.046290689509859595
DEU,Germany,0.14443495527396288,0.6965122484065127,0.18036159626997605,0.6715547790422061,0.8349604012807177,0.3424571043371747,0.5311190417105441
GHA,Ghana,0.053420733268120024,0.045818282253204834,0.07508407820785734,0.6809667662363725,0.5471471329270895,0.3187920779213398,0.7693782942321287
GRC,Greece,0.5913093799824257,0.8385867608776897,0.8043193847621986,0.9810307364561635,0.5125535203633239,0.6622466400060755,0.21258086335192417
HUN,Hungary,0.4035971978973867,0.5053636071770212,0.039379192354426884,0.8522377953791477,0.9488895806689385,0.17250965461077972,0.21539551989583383
IND,India,0.7530422784469956,0.9863821432347071,0.7691664887800528,0.10266628970194025,0.16991964093694545,0.9617292177394872,0.6648627871733422
IDN,Indonesia,0.9507602033915891,0.17269352208876965,0.45025943985292394,0.8010599519349398,0.5959976144472109,0.5702412829713107,0.3248586042594972
IRN,Iran,0.28855343742802975,0.9284702069762151,0.6615454812663579,0.19160202496602896,0.29758029709912914,0.8777381083786396,0.15699390063531438
