,Continent,Country,FR,IM,LE,LEF,LKM,MMR,RS
AFG,Asia,Afghanistan,0.1171135695665021,0.758864003860327,0.1935866114861704,0.115228014769262,0.4555015408636897,0.5868424398017393,0.9914235640973832
ALB,Europe,Albania,0.6626411750384893,0.892323950907656,0.837057355168224,0.6098664251782412,0.9802450238873566,0.9803597376274537,0.4527022638858321
DZA,Africa,Algeria,0.5857646639251501,0.4909184575089665,0.3801132814138148,0.5277236908449897,0.6533592835738671,0.622537612605452,0.259823476177773
ARG,South America,Argentina,0.8307133139852036,0.5036172298839352,0.0599751124672014,0.4067044150604992,0.2859749034660368,0.7682423986064084,0.5678158136533555
AUS,Oceania,Australia,0.1623532896853321,0.5684972077141283,0.9370763881053612,0.614370710248319,0.0297923036185843,0.9410101743169024,0.3155755056578292
AUT,Europe,Austria,0.4126796556944717,0.9497040942813688,0.1724789423432728,0.4313936012849264,0.2572602873811557,0.6865576237209038,0.5584793216923618
BGD,Asia,Bangladesh,0.234838055586356,0.2859602210281629,0.332987883191576,0.0129208947975365,0.7757766152933511,0.8711717475134474,0.3864949635733578
BEL,Europe,Belgium,0.2075225157682008,0.109301426725386,0.1851824387575121,0.6513464355547691,0.3920267855193681,0.9311094206994398,0.4669810784811082
BRA,South America,Brazil,0.3067363668907985,0.7396098602640664,0.0713305911119075,0.2109692944195532,0.4065994541668691,0.8477282584584923,0.6954696842510736
CAN,North America,Canada,0.2562991497169273,0.2082047555220828,0.3943518429477903,0.8276305033518726,0.7857608578239151,0.6002910936040242,0.0825028804848502
CHL,South America,Chile,0.3600878350151799,0.3056875567941698,0.294850568498275,0.7428615553656489,0.5131730700042638,0.4185840611754474,0.8125021609610924
CHN,Asia,China,0.5288238588680654,0.0331293579584069,0.6142835426522815,0.7976176128213233,0.1432481815599331,0.7014381931561406,0.3277049902011691
COL,South America,Colombia,0.0850497904426073,0.6164381520206202,0.2746781264088677,0.3620965537158322,0.3942145419308203,0.6161566134987106,0.2574294086900077
HRV,Europe,Croatia,0.9948254986685958,0.2558500605806618,0.8637228924217102,0.8797490766371476,0.0897946841770416,0.0420119017851801,0.2522640123842458
CUB,North America,Cuba,0.9398698469215864,0.3711350091384811,0.4719136836163581,0.9618308137443848,0.3754751071456597,0.8853244013855189,0.240419796570669
CZE,Europe,Czech Republic,0.0076394408728193,0.2960467317076986,0.5329756313647096,0.1220056906675594,0.6657607562881458,0.9565520576617988,0.3657668290556072
