Tara,RS,FR,IM,MMR,LE,LEM,LEF
Afghanistan,0.64,4.18,498.00,26.00,36.00,56.00,67.00
Albania,2.80,1.58,149.00,52.80,61.00,58.00,63.00
Algeria,3.12,2.94,153.00,48.00,61.00,59.00,32.00
Andorra,2.72,5.37,86.00,32.30,72.00,89.00,70.00
Angola,3.62,1.98,483.00,22.20,33.00,87.00,36.00
Antigua and Barbuda,-0.29,3.15,164.00,25.30,62.00,30.00,67.00
Argentina,0.17,2.23,136.00,56.50,65.00,45.00,62.00
Armenia,2.16,1.76,157.00,48.40,61.00,61.00,46.00
Australia,0.91,1.90,76.00,55.60,73.00,78.00,84.00
Austria,1.08,1.58,95.00,56.00,71.00,88.00,53.00
Azerbaijan,-0.39,1.44,207.00,44.10,57.00,52.00,64.00
Bahamas,-1.64,1.70,192.00,43.50,64.00,88.00,35.00
Bahrain,0.79,1.73,105.00,46.00,64.00,32.00,44.00
Bangladesh,1.44,1.94,254.00,45.40,54.00,56.00,84.00
Barbados,1.12,1.99,129.00,63.80,66.00,64.00,82.00
Belarus,1.19,1.63,242.00,37.50,61.00,36.00,36.00
Belgium,2.19,1.38,100.00,50.10,71.00,63.00,41.00
Belize,0.58,1.55,199.00,49.00,60.00,76.00,31.00
Benin,2.95,2.25,335.00,25.00,44.00,52.00,60.00
Bhutan,2.97,4.70,251.00,38.90,53.00,31.00,47.00
Bolivia,1.19,1.93,231.00,37.90,54.00,68.00,58.00
Bosnia and Herzegovina,-0.64,2.65,117.00,52.70,64.00,84.00,50.00
Botswana,3.82,1.24,570.00,40.30,36.00,67.00,72.00
Brazil,0.91,2.80,192.00,38.00,60.00,71.00,52.00
Brunei Darussalam,-1.32,1.71,110.00,63.70,65.00,34.00,75.00
Bulgaria,0.13,1.80,160.00,47.30,65.00,60.00,41.00
Burkina Faso,2.12,1.56,414.00,18.30,36.00,35.00,43.00
Burundi,0.15,5.03,456.00,23.30,35.00,82.00,44.00
Cambodia,1.57,5.24,307.00,29.80,48.00,67.00,60.00
Cameroon,0.85,2.21,384.00,24.80,41.00,73.00,62.00
Canada,0.21,2.45,81.00,58.50,72.00,68.00,76.00
Cape Verde,1.14,4.44,213.00,25.90,61.00,59.00,48.00
Central African Republic,0.93,1.40,434.00,27.20,37.00,88.00,69.00
Chad,1.96,4.57,424.00,24.00,41.00,48.00,66.00
Chile,0.43,5.55,103.00,52.80,67.00,50.00,57.00
China,0.75,1.61,135.00,49.20,64.00,86.00,83.00
Colombia,-0.23,1.70,174.00,62.10,62.00,37.00,80.00
Comoros,1.14,1.77,242.00,37.30,55.00,56.00,50.00
Congo,0.79,4.07,410.00,30.90,46.00,33.00,65.00
Cook Islands,1.03,4.32,149.00,96.10,62.00,36.00,31.00
Costa Rica,0.58,1.72,107.00,58.70,67.00,33.00,46.00
Cote d'Ivoire,2.58,4.54,399.00,34.90,39.00,55.00,38.00
Croatia,3.15,1.48,132.00,65.30,67.00,61.00,56.00
Cuba,3.39,1.59,115.00,49.90,68.00,80.00,54.00
Cyprus,2.39,1.31,82.00,61.50,68.00,78.00,56.00
Czech Republic,0.94,1.71,124.00,48.90,68.00,78.00,47.00
Democratic People's Republic of Korea,2.16,1.67,200.00,41.80,59.00,54.00,62.00
Democratic Republic of the Congo,1.11,2.63,453.00,25.70,37.00,48.00,79.00
Denmark,1.05,2.30,100.00,73.80,70.00,51.00,83.00
Djibouti,0.61,2.38,325.00,27.00,43.00,89.00,83.00
Dominica,0.07,3.24,152.00,99.90,64.00,56.00,57.00
Dominican Republic,1.32,2.00,185.00,47.20,60.00,38.00,54.00
Ecuador,2.24,4.35,185.00,49.80,62.00,38.00,71.00
Egypt,0.87,3.93,200.00,44.30,59.00,35.00,65.00
