Entity,Code,2000,2005,2010,2015,2018
Afghanistan,AFG,6.100908455,6.130813329,0.21,0.21,0.21
Albania,ALB,6.57,7.65,7.69,6.74,7.17
Algeria,DZA,0.58,0.81,0.65,0.93,0.95
Andorra,AND,13.28,12.55,11.11,11.01,11.02
Angola,AGO,2.76,4.89,8.16,7.96,6.94
Antigua and Barbuda,ATG,5.13,5.37,5.6,5.89,6.38
Argentina,ARG,8.75,8.66,,9.55,9.65
Armenia,ARM,4.23,5.79,5.69,5.84,5.55
Australia,AUS,11.72,12.08,12.39,10.83,10.51
Austria,AUT,13.12,12.79,12.2,12.07,11.96
Azerbaijan,AZE,3.45,1.81,2.97,4.58,4.41
Bahamas,BHS,5.58,4.28,4.12,4.55,4.78
Bahrain,BHR,1.74,1.76,1.69,1.3,1.09
Bangladesh,BGD,0.23,0.16,0.16,0.021,0.019
Barbados,BRB,7.11,7.4,7.95,9.33,9.69
Belarus,BLR,15.17,15.3,17.43,12,11.45
Belgium,BEL,12.49,13.13,11.4,11.82,11.08
Belize,BLZ,5.55,7.16,7.08,6.74,6.22
Benin,BEN,2.46,2.23,2.47,2.97,2.81
Bhutan,BTN,2.77,1.6,0.92,0.42,0.43
Bolivia,BOL,3.44,4.37,5.56,4.64,4.43
Bosnia and Herzegovina,BIH,6.37,7.2,7.32,6.92,7.15
Botswana,BWA,9.05,9.61,8.62,6.86,6.59
Brazil,BRA,8.78,8.32,8.49,7.86,7.42
Brunei,BRN,0.23,0.21,0.51,0.46,0.48
Bulgaria,BGR,11.8,11.42,11.32,12.34,12.65
Burkina Faso,BFA,8.4,9.19,8.58,11.83,12.03
Burundi,BDI,9.82,8.44,7.66,7.03,7.19
Cambodia,KHM,1.87,2.69,4.91,6.37,6.64
Cameroon,CMR,6.69,7.62,8.43,6.17,5.65
Canada,CAN,6.100908455,6.130813329,10.1,8.88,8.94
Cape Verde,CPV,6.03,6.95,7.51,5.95,5.6
Central African Republic,CAF,3.68,3.62,3.98,2.43,2.38
Chad,TCD,4.34,4.62,6.58,1.45,1.37
Chile,CHL,7.74,8.93,9.31,9.26,9.07
China,CHN,3.81,4.02,7.07,7.15,7.05
Colombia,COL,5.58,5.41,5.04,5.78,5.74
Comoros,COM,0.19,0.44,0.25,0.88,0.69
Congo,COG,3.45,3.75,6.17,7.9,9.27
Costa Rica,CRI,5.55,5.42,4.8,4.76,4.87
Cote d'Ivoire,CIV,7.25,3.3,2.53,2.61,2.71
Croatia,HRV,12.45,10.31,10.08,9.07,9.23
Cuba,CUB,4.98,5.36,5.02,5.67,5.83
Cyprus,CYP,10.86,12.43,11.35,10.76,10.81
Czechia,CZE,15,14.76,14.06,14.25,14.45
Democratic Republic of Congo,COD,0.95,0.86,1.75,2.05,2
Denmark,DNK,12.67,12.29,11,10.36,10.26
Djibouti,DJI,1.62,1.28,0.67,0.49,0.43
Dominica,DMA,8.38,8.72,9.65,11.32,11.18
Dominican Republic,DOM,7.19,6.15,6.11,6.61,6.68
Ecuador,ECU,5.96,5.81,6.16,4.98,4.2
Egypt,EGY,0.25,0.29,0.36,0.4,0.36
El Salvador,SLV,3.86,3.8,3.31,3.59,3.89
Equatorial Guinea,GNQ,7.45,8.91,9.2,9.08,7.23
Eritrea,ERI,1.57,2.08,1.38,1.42,1.44
Estonia,EST,9.57,15.65,12.39,12.39,9.23
Eswatini,SWZ,7.46,6.71,6.82,9.84,10.04
Ethiopia,ETH,1.76,2.05,2.5,2.19,2.36
Fiji,FJI,3.24,2.78,3,3.33,3.32
Finland,FIN,11.69,13.11,12.59,11.18,10.78
France,FRA,14.08,13.09,12.4,12.64,12.33
Gabon,GAB,10.59,9.36,9.89,9.57,8.74
Gambia,GMB,4.14,4.27,3.81,3.67,3.55
Georgia,GEO,4.41,6.39,9.67,9.61,8.25
Germany,DEU,14.16,13.28,12.64,13.06,12.91
Ghana,GHA,5.3,3.77,4.26,3.12,2.75
Greece,GRC,10.18,10.73,9.67,10.49,10.18
Grenada,GRD,9.8,8.76,8.31,9.07,9.48
Guatemala,GTM,4.4,4.29,3.51,2.55,2.45
Guinea,GIN,0.67,0.77,0.7,1.07,1.11
Guinea-Bissau,GNB,4.15,5.31,4.47,5.05,5.38
Guyana,GUY,8.98,7.98,6.78,7.35,6.89
Haiti,HTI,3.97,3.86,2.99,2.69,2.73
Honduras,HND,3.5,3.88,3.59,3.49,3.76
Hungary,HUN,14.27,14.56,12.09,11.6,11.35
Iceland,ISL,7.03,7.74,7.5,8.74,9.12
India,IND,2.28,2.33,4.35,5.54,5.54
Indonesia,IDN,0.5,0.48,0.59,0.6,0.57
Iran,IRN,0.21,0.58,1.01,1.01,1.03
