Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
32768,Budesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49153,Sahateni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57350,Cojocna,1085554.0,0.0,0.0,0.0,0.0,0.0,0.0,599858.0,0.0
90119,Lunca Cernii De Jos,0.0,0.0,3660.0,0.0,0.0,0.0,0.0,0.0,0.0
73736,Poiana Mare,3022374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147465,Bunesti,87595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155662,Bara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139287,Valea Vinului,0.0,0.0,1.6495008E7,0.0,0.0,0.0,0.0,0.0,0.0
114710,Oras Ludus,2.06212598E8,3801152.0,397298.0,1.50145262E8,2751670.0,0.0,0.0,4467073.0,92.0
122908,Grumazesti,9530486.0,0.0,192715.0,0.0,1749463.0,0.0,0.0,0.0,0.0
131103,Oras Breaza,2803609.0,9.4457927E7,527290.0,0.0,0.0,1.2013025E7,0.0,96280.0,0.0
40991,Fundata,0.0,0.0,3550.0,0.0,0.0,0.0,0.0,0.0,0.0
98337,Plugari,23939.0,16334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8229,Vadu Motilor,0.0,0.0,1443175.0,0.0,0.0,0.0,0.0,0.0,0.0
16427,Dobresti,208569.0,0.0,877000.0,0.0,0.0,0.0,0.0,0.0,0.0
32811,Caianu Mic,0.0,358640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73772,Predesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172082,Pausesti-Maglasi,4145616.0,1981.0,9593899.0,0.0,0.0,0.0,0.0,101733.0,0.0
49206,Sapoca,63187.0,20945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24631,Poduri,1933.0,0.0,281144.0,0.0,0.0,0.0,0.0,0.0,0.0
163903,Gagesti,4483.0,0.0,243278.0,0.0,0.0,0.0,0.0,0.0,0.0
106559,Municipiul Sighetu Marmatiei,1.3634217E7,1.3786525E7,9.2511206E7,0.0,0.0,8817684.0,0.0,3.28055712E8,6909535.0
139330,Vama,262055.0,3190225.0,0.0,0.0,458342.0,0.0,0.0,67246.0,0.0
81987,Schela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
