Id,Year,Floors,Hist,Type,Mason,Struct,Apart,DayP,NightP,Employ,Visit,VULNERAB
5,1963,8,0,1,0,0,28,58,58,25,0,E
6,1819,1,1,2,10,110,0,0,0,0,0,B
7,1900,2,0,7,100,11,0,0,0,0,0,F
8,1940,1,1,1,110,11,0,0,0,0,0,G
9,1900,2,0,3,110,1,9,25,25,0,0,B
10,1846,2,0,3,110,11,0,0,10,6,150,B
11,1940,3,0,8,100,11,0,0,0,0,0,E
12,1900,6,0,1,100,0,36,140,80,2,0,B
14,1890,2,0,2,111,10,4,8,8,0,0,A
16,1940,1,0,3,110,10,3,10,5,1,0,B
17,1900,1,0,3,0,0,4,12,12,4,100,B
19,1900,1,0,3,0,0,6,20,20,0,0,B
21,1890,0,0,2,0,0,0,0,0,0,0,B
22,1880,2,0,5,100,0,0,0,20,0,0,B
23,1883,2,0,4,0,0,0,0,2,0,0,B
24,1890,4,0,5,100,1,0,0,20,0,0,B
25,1890,4,0,1,100,1,0,0,10,0,0,B
28,1890,2,1,5,0,0,0,0,0,0,0,A
29,1900,2,0,1,110,11,0,0,10,0,0,B
30,1890,1,0,3,110,0,0,0,0,4,10,B
31,1900,8,0,5,111,0,0,0,50,0,0,B
32,1900,6,0,1,110,1,0,0,50,2,50,B
35,1890,3,0,1,111,0,12,36,30,0,0,B
36,1890,4,0,1,110,10,20,40,40,0,0,B
37,1890,8,0,1,0,10,0,0,100,0,0,B
38,1900,1,0,2,0,0,2,8,8,0,0,B
39,1900,3,0,1,0,0,35,75,75,1,15,B
40,1890,5,0,1,100,0,48,90,90,0,0,B
41,1995,0,0,9,0,0,0,0,0,0,0,C
42,1900,5,0,1,100,0,12,30,30,0,0,B
43,1900,3,0,1,0,0,12,35,35,0,0,B
45,1900,1,0,2,0,0,1,2,2,0,0,B
46,1900,4,0,1,110,10,0,0,0,0,0,B
47,1900,2,0,2,100,10,4,16,16,0,0,A
48,1890,3,0,2,111,11,12,25,25,0,0,A
49,1900,2,0,3,110,0,4,10,10,0,0,B
50,1900,3,0,3,100,0,3,8,8,0,0,B
51,1900,3,0,3,0,0,3,12,12,0,0,B
53,1900,6,0,1,0,0,0,0,2,0,0,D
54,1900,2,1,3,100,0,0,0,0,0,0,B
55,1900,2,0,2,110,11,6,20,20,0,0,A
56,1900,2,1,3,100,0,6,24,20,2,100,B
57,1900,5,0,1,0,0,0,0,0,0,0,B
58,1900,1,0,3,100,0,0,0,1,0,0,B
59,1900,2,1,3,100,1,4,15,15,1,25,B
60,1900,2,1,3,110,0,4,15,15,2,0,B
61,1900,1,1,3,100,1,0,0,0,2,40,B
62,1900,2,1,2,0,0,3,12,12,0,0,A
64,1890,1,0,2,110,11,2,6,3,0,0,A
65,1900,3,0,2,100,110,3,6,6,0,0,A
67,1900,2,1,3,111,111,12,48,48,0,0,A
68,1900,3,1,3,100,0,5,15,15,0,0,B
69,1900,1,1,3,111,1,4,12,12,2,10,B
70,1900,2,1,2,110,11,0,0,0,1,100,A
71,1900,2,1,2,111,11,0,0,0,0,0,A
72,1900,1,1,2,110,1,4,16,16,0,0,A
73,1900,1,1,2,111,0,0,0,0,0,0,A
74,1900,1,1,2,0,0,0,0,0,0,0,A
75,1900,1,1,3,110,0,4,12,12,4,70,B
76,1900,2,0,2,100,0,2,6,6,0,0,A
77,1849,2,1,3,0,0,0,0,10,0,0,B
83,1900,1,1,2,110,0,1,4,4,0,0,A
84,1900,2,1,3,110,1,4,15,15,0,0,B
86,1900,1,1,3,110,11,4,12,12,0,0,B
87,1900,5,1,4,0,1,0,0,0,0,0,A
88,1900,1,1,2,0,10,0,0,0,0,0,A
89,1900,1,1,2,110,10,0,0,0,0,0,A
90,1900,1,1,2,0,11,0,0,0,0,0,A
91,1819,0,1,3,0,0,0,0,0,0,0,B
93,1900,2,0,1,110,10,0,0,20,0,0,A
94,1900,3,0,3,0,1,8,20,20,0,0,B
95,1898,4,1,4,0,0,0,0,0,25,300,B
96,1890,2,1,5,110,10,0,0,1,0,0,G
97,1900,2,1,5,100,0,0,0,1,5,21,B
98,1900,7,0,1,100,1,42,90,2,5,100,B
99,1900,3,0,4,110,101,8,20,20,0,0,A
101,1900,2,0,2,110,10,0,0,0,0,0,A
102,1900,1,0,2,10,0,2,6,6,0,0,A
103,1900,1,0,2,110,0,3,14,14,2,30,A
104,1900,1,0,1,100,0,0,0,0,0,0,C
105,1900,1,0,2,100,10,0,0,0,0,0,A
106,1900,1,1,3,101,10,6,15,15,3,20,B
107,1900,2,0,3,110,0,18,30,30,0,0,B
108,1852,0,0,2,0,0,0,0,1,0,0,B
109,1900,1,0,2,110,0,4,15,15,0,0,B
110,1900,1,0,2,110,0,4,15,15,0,0,A
111,1900,2,1,3,111,1,4,10,10,0,0,B
112,1900,2,0,3,0,0,9,25,25,0,0,B
113,1852,2,0,3,110,11,4,12,12,0,0,B
114,1852,2,1,3,0,0,0,0,0,0,0,G
115,1900,2,0,3,110,0,4,12,12,0,0,B
116,1900,2,0,3,110,1,2,8,8,0,0,B
117,1900,2,0,3,10,101,6,18,18,0,0,B
118,1890,2,1,3,0,0,12,35,35,0,0,B
120,1910,3,0,5,0,0,12,24,24,0,0,B
122,1900,2,0,1,0,0,0,0,0,4,50,B
123,1900,1,1,1,0,0,0,0,0,0,0,B
126,1900,4,1,1,0,0,0,0,0,0,0,B
127,1900,1,0,3,0,0,0,0,2,4,50,B
128,1724,0,1,3,0,0,0,0,0,0,0,B
129,1885,2,1,6,0,0,0,0,2,0,0,D
130,1880,4,1,1,0,0,0,0,2,0,0,C
131,1876,2,1,4,0,0,0,0,1,10,100,B
132,1978,6,0,1,0,0,36,74,74,0,0,E
133,1900,2,1,1,0,0,0,0,80,0,0,B
134,1883,2,1,4,110,10,0,0,0,0,0,A
135,1890,1,1,2,110,1,8,20,20,0,0,A
136,1900,0,1,1,0,0,0,0,1,8,150,B
137,1873,1,1,3,0,0,0,0,0,0,0,B
138,1890,1,1,1,0,0,0,0,1,0,0,C
139,1890,2,1,3,0,0,0,0,1,0,0,B
140,1890,2,1,1,0,0,0,0,1,0,0,D
141,1900,2,1,1,110,10,0,0,0,0,0,B
142,1890,2,1,9,110,10,2,5,5,0,0,B
143,1890,0,1,1,0,0,0,0,0,0,0,B
144,1890,2,1,2,100,10,0,0,0,0,0,B
145,1890,0,1,9,0,0,0,0,0,0,0,C
146,1890,1,1,2,110,10,0,0,0,0,0,G
147,1920,7,0,1,100,0,0,0,1,0,0,B
148,1890,3,1,3,110,10,8,24,24,6,200,B
149,1890,1,1,1,0,0,0,0,0,0,0,C
