Id,Year,Floors,Hist,Type,Mason,Struct,Apart,DayP,NightP,Employ,Visit
351,1890,2,1,2,100,0,0,0,0,0,0
352,1900,0,0,3,110,10,0,0,0,0,0
354,1884,1,1,3,10,10,4,12,12,0,0
355,1880,1,1,3,110,10,2,6,6,0,0
356,1920,7,0,9,0,0,0,0,2,0,0
357,1907,3,1,5,0,0,0,0,2,60,0
358,1900,2,0,9,110,0,0,0,1,8,150
359,1900,7,1,9,110,0,0,0,2,0,0
360,1938,6,0,9,0,0,0,0,2,0,0
361,1900,4,1,1,0,0,0,0,2,0,0
362,1935,5,0,1,110,10,20,50,50,0,0
363,1905,0,1,3,1,101,0,0,0,0,0
364,1880,5,1,9,0,0,0,0,1,0,0
365,1930,6,1,5,0,0,0,0,1,0,0
366,1940,6,0,1,0,0,28,62,62,0,400
368,1940,8,0,9,100,0,27,83,83,0,0
369,1935,8,1,1,110,10,36,89,89,0,0
370,1833,1,1,2,0,0,0,0,1,6,30
371,1936,10,0,1,110,10,32,93,93,0,0
372,1891,2,1,3,110,10,0,0,1,0,0
374,1950,3,0,5,0,0,0,0,1,0,0
375,1915,4,0,3,110,10,0,0,2,0,0
376,1683,0,1,3,0,0,0,0,0,0,0
377,1906,3,0,5,110,10,0,0,0,0,0
378,1977,7,0,1,0,0,28,60,60,15,200
379,1920,2,0,3,110,10,0,0,0,8,200
381,1920,3,0,5,110,0,0,0,1,0,0
383,1913,5,0,1,110,0,6,15,15,0,0
384,1950,2,1,1,0,0,0,0,15,0,0
385,1911,3,1,5,0,0,0,0,5,0,0
386,1940,4,1,5,100,0,0,0,1,3,50
388,1940,7,0,9,0,0,0,0,0,0,0
389,1940,3,0,5,0,0,0,0,10,0,0
392,1940,2,0,2,110,10,0,0,1,0,0
394,1977,8,0,1,100,0,36,108,100,0,200
400,1900,1,0,3,110,0,0,0,5,0,0
401,1900,2,0,3,100,0,3,10,10,0,0
402,1870,2,1,3,0,0,3,8,8,4,150
403,1900,1,1,3,100,0,4,12,12,0,0
404,1899,2,1,6,100,0,12,30,30,0,0
405,1899,1,1,3,101,1,2,5,5,0,0
406,1900,1,0,1,100,100,0,0,0,0,0
407,1899,1,1,3,110,10,0,0,0,0,0
408,1900,2,0,1,0,100,0,0,1,0,0
409,1890,0,1,3,0,0,0,0,0,0,0
540,1910,4,1,1,0,0,0,0,0,0,0
541,1900,2,0,1,100,0,0,0,0,0,0
542,1900,1,0,1,0,0,0,0,0,0,0
543,1910,1,0,3,100,0,0,0,0,0,0
544,1890,2,1,3,110,10,0,0,2,0,0
545,1936,5,0,1,110,0,0,0,0,0,0
550,1900,1,1,5,0,0,0,0,0,0,0
551,1900,4,0,4,0,0,0,0,2,0,0
552,1890,1,1,3,0,0,0,0,0,0,0
555,1900,5,1,2,110,10,0,0,0,0,0
